번호,Root계정ID,Root닉네임,멤버ID,멤버닉네임,국가,소속라인,Root로부터레벨,직접상위ID,직급,패키지,투자금($),가입일,직접추천수당(1회/$),롤업적용여부(BlueD=3레벨),월롤업기여금($),연롤업기여금($),비고
112,LR-LEE-002,Lee_Profit99,LEE-L1-W02-3,CN_Cao_W2_3,🇨🇳,Line1,2,LEE-L1-B01,White Dragon,Basic,200,2025-03-21,20,YES,1.8,21.6,L1 Blue Dragon(LEE-L1-B01)의 자격자 3
113,LR-LEE-002,Lee_Profit99,LEE-L1-B02,CN_Zeng_02,🇨🇳,Line1,2,LEE-L1-B01,Blue Dragon,Standard,500,2025-03-28,50,YES,4.5,54,척추 Blue Dragon L2
114,LR-LEE-002,Lee_Profit99,LEE-L1-W03-1,CN_Qian_W3_1,🇨🇳,Line1,3,LEE-L1-B02,White Dragon,Basic,200,2025-03-31,20,YES,1.8,21.6,L2 Blue Dragon(LEE-L1-B02)의 자격자 1
115,LR-LEE-002,Lee_Profit99,LEE-L1-W03-2,CN_Ye_W3_2,🇨🇳,Line1,3,LEE-L1-B02,White Dragon,Basic,200,2025-04-03,20,YES,1.8,21.6,L2 Blue Dragon(LEE-L1-B02)의 자격자 2
116,LR-LEE-002,Lee_Profit99,LEE-L1-W03-3,CN_Dong_W3_3,🇨🇳,Line1,3,LEE-L1-B02,White Dragon,Basic,200,2025-04-06,20,YES,1.8,21.6,L2 Blue Dragon(LEE-L1-B02)의 자격자 3
117,LR-LEE-002,Lee_Profit99,LEE-L1-B03,CN_Bai_03,🇨🇳,Line1,3,LEE-L1-B02,Blue Dragon,Standard,500,2025-04-13,50,YES,4.5,54,척추 Blue Dragon L3
118,LR-LEE-002,Lee_Profit99,LEE-L1-W04-1,CN_Yuan_W4_1,🇨🇳,Line1,4,LEE-L1-B03,White Dragon,Basic,200,2025-04-16,20,NO (4레벨+),0,0,L3 Blue Dragon(LEE-L1-B03)의 자격자 1
119,LR-LEE-002,Lee_Profit99,LEE-L1-W04-2,CN_Ren_W4_2,🇨🇳,Line1,4,LEE-L1-B03,White Dragon,Basic,200,2025-04-19,20,NO (4레벨+),0,0,L3 Blue Dragon(LEE-L1-B03)의 자격자 2
120,LR-LEE-002,Lee_Profit99,LEE-L1-W04-3,CN_Deng_W4_3,🇨🇳,Line1,4,LEE-L1-B03,White Dragon,Basic,200,2025-04-22,20,NO (4레벨+),0,0,L3 Blue Dragon(LEE-L1-B03)의 자격자 3
121,LR-LEE-002,Lee_Profit99,LEE-L1-B04,CN_Mo_04,🇨🇳,Line1,4,LEE-L1-B03,Blue Dragon,Standard,500,2025-04-29,50,NO (4레벨+),0,0,척추 Blue Dragon L4
122,LR-LEE-002,Lee_Profit99,LEE-L1-W05-1,CN_Gu_W5_1,🇨🇳,Line1,5,LEE-L1-B04,White Dragon,Basic,200,2025-05-02,20,NO (4레벨+),0,0,L4 Blue Dragon(LEE-L1-B04)의 자격자 1
123,LR-LEE-002,Lee_Profit99,LEE-L1-W05-2,CN_Yin_W5_2,🇨🇳,Line1,5,LEE-L1-B04,White Dragon,Basic,200,2025-05-05,20,NO (4레벨+),0,0,L4 Blue Dragon(LEE-L1-B04)의 자격자 2
124,LR-LEE-002,Lee_Profit99,LEE-L1-W05-3,CN_Ai_W5_3,🇨🇳,Line1,5,LEE-L1-B04,White Dragon,Basic,200,2025-05-08,20,NO (4레벨+),0,0,L4 Blue Dragon(LEE-L1-B04)의 자격자 3
125,LR-LEE-002,Lee_Profit99,LEE-L1-T05-1,CN_Bi_T5,🇨🇳,Line1,5,LEE-L1-B04,White Dragon,Basic,200,2025-04-13,20,NO (4레벨+),0,0,꼬리구간 L5 — 최대깊이 달성
126,LR-LEE-002,Lee_Profit99,LEE-L1-T06-1,CN_Ci_T6,🇨🇳,Line1,6,LEE-L1-T05-1,White Dragon,Basic,200,2025-04-20,20,NO (4레벨+),0,0,꼬리구간 L6 — 최대깊이 달성
127,LR-LEE-002,Lee_Profit99,LEE-L1-T07-1,CN_Di_T7,🇨🇳,Line1,7,LEE-L1-T06-1,White Dragon,Basic,200,2025-04-27,20,NO (4레벨+),0,0,꼬리구간 L7 — 최대깊이 달성
128,LR-LEE-002,Lee_Profit99,LEE-L1-T08-1,CN_Ei_T8,🇨🇳,Line1,8,LEE-L1-T07-1,White Dragon,Basic,200,2025-05-04,20,NO (4레벨+),0,0,꼬리구간 L8 — 최대깊이 달성
129,LR-LEE-002,Lee_Profit99,LEE-L2-B01,JP_Kimura_Rise,🇯🇵,Line2,1,LR-LEE-002,Blue Dragon,Standard,500,2025-03-02,50,YES,4.5,54,우연히 성장 / 얕은 Blue Dragon
130,LR-LEE-002,Lee_Profit99,LEE-L2-W02-1,JP_Mori_1,🇯🇵,Line2,2,LEE-L2-B01,White Dragon,Basic,200,2025-03-05,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
131,LR-LEE-002,Lee_Profit99,LEE-L2-W02-2,JP_Hayashi_2,🇯🇵,Line2,2,LEE-L2-B01,White Dragon,Basic,200,2025-03-08,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
132,LR-LEE-002,Lee_Profit99,LEE-L2-W02-3,JP_Imai_3,🇯🇵,Line2,2,LEE-L2-B01,White Dragon,Basic,200,2025-03-11,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
133,LR-LEE-002,Lee_Profit99,LEE-L2-W02-4,JP_Ogawa_4,🇯🇵,Line2,2,LEE-L2-B01,White Dragon,Basic,200,2025-03-14,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
134,LR-LEE-002,Lee_Profit99,LEE-L2-W02-5,JP_Okada_5,🇯🇵,Line2,2,LEE-L2-B01,White Dragon,Basic,200,2025-03-17,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
135,LR-LEE-002,Lee_Profit99,LEE-L2-T03-1,JP_Saito_T1,🇯🇵,Line2,3,LEE-L2-W02-1,White Dragon,Basic,200,2025-04-11,20,YES,1.8,21.6,Line2 꼬리 L3
136,LR-LEE-002,Lee_Profit99,LEE-L2-T04-1,JP_Kondo_T2,🇯🇵,Line2,4,LEE-L2-T03-1,White Dragon,Basic,200,2025-04-21,20,NO (4레벨+),0,0,Line2 꼬리 L4
137,LR-LEE-002,Lee_Profit99,LEE-L2-T05-1,JP_Fujii_T3,🇯🇵,Line2,5,LEE-L2-T04-1,White Dragon,Basic,200,2025-05-01,20,NO (4레벨+),0,0,Line2 꼬리 L5
138,LR-LEE-002,Lee_Profit99,LEE-L3-01,KR_Ahn_Star,🇰🇷,Line3,1,LR-LEE-002,White Dragon,Basic,200,2025-02-28,20,YES,1.8,21.6,⭐ Blue Dragon 달성 목표 — 이 라인이 Blue되면 상위계정 Purple Dragon 달성
139,LR-LEE-002,Lee_Profit99,LEE-L3-W02-1,KR_Jeon_1,🇰🇷,Line3,2,LEE-L3-01,White Dragon,Basic,200,2025-03-04,20,YES,1.8,21.6,L3 Blue Dragon 자격자 예비 1
140,LR-LEE-002,Lee_Profit99,LEE-L3-W02-2,KR_Lim_2,🇰🇷,Line3,2,LEE-L3-01,White Dragon,Basic,200,2025-03-08,20,YES,1.8,21.6,L3 Blue Dragon 자격자 예비 2
141,LR-LEE-002,Lee_Profit99,LEE-L3-W02-3,KR_Han_3,🇰🇷,Line3,2,LEE-L3-01,White Dragon,Basic,200,2025-03-12,20,YES,1.8,21.6,L3 Blue Dragon 자격자 예비 3
142,LR-LEE-002,Lee_Profit99,LEE-L3-W02-4,KR_Ryu_4,🇰🇷,Line3,2,LEE-L3-01,White Dragon,Basic,200,2025-03-16,20,YES,1.8,21.6,추가 멤버
143,LR-LEE-002,Lee_Profit99,LEE-L3-W03-1,KR_Oh_D3,🇰🇷,Line3,3,LEE-L3-W02-1,White Dragon,Basic,200,2025-05-09,20,YES,1.8,21.6,Line3 L3
144,LR-LEE-002,Lee_Profit99,LEE-L3-W04-1,KR_Seo_D4,🇰🇷,Line3,4,LEE-L3-W02-1,White Dragon,Basic,200,2025-05-19,20,NO (4레벨+),0,0,Line3 L4
145,LR-LEE-002,Lee_Profit99,LEE-L3-W05-1,KR_Bae_D5,🇰🇷,Line3,5,LEE-L3-W02-1,White Dragon,Basic,200,2025-05-29,20,NO (4레벨+),0,0,Line3 L5
146,LR-LEE-002,Lee_Profit99,LEE-L4-01,VN_Vu_Pro,🇻🇳,Line4,1,LR-LEE-002,White Dragon,Basic,200,2025-03-04,20,YES,1.8,21.6,거의 비활성
147,LR-LEE-002,Lee_Profit99,LEE-L4-02-1,VN_Do_1,🇻🇳,Line4,2,LEE-L4-01,White Dragon,Basic,200,2025-03-24,20,YES,1.8,21.6,비활성 소규모
148,LR-LEE-002,Lee_Profit99,LEE-L4-02-2,VN_Bui_2,🇻🇳,Line4,2,LEE-L4-01,White Dragon,Basic,200,2025-04-13,20,YES,1.8,21.6,비활성 소규모
149,LR-LEE-002,Lee_Profit99,LEE-L4-02-3,VN_Hoang_3,🇻🇳,Line4,2,LEE-L4-01,White Dragon,Basic,200,2025-05-03,20,YES,1.8,21.6,비활성 소규모
150,LR-LEE-002,Lee_Profit99,LEE-L5-01,CN_Fi_Rise2,🇨🇳,Line5,1,LR-LEE-002,White Dragon,Basic,200,2025-03-07,20,YES,1.8,21.6,거의 비활성
151,LR-LEE-002,Lee_Profit99,LEE-L5-02-1,CN_Gi_Sub,🇨🇳,Line5,2,LEE-L5-01,White Dragon,Basic,200,2025-05-06,20,YES,1.8,21.6,최소 구성
152,LR-PAR-003,Park_Alpha77,PAR-L1-B01,CN_Hi_01,🇨🇳,Line1,1,LR-PAR-003,Blue Dragon,Standard,500,2025-03-17,50,YES,4.5,54,Kim 직접추천 / 중국라인 리더
153,LR-PAR-003,Park_Alpha77,PAR-L1-W02-1,CN_Ii_W2_1,🇨🇳,Line1,2,PAR-L1-B01,White Dragon,Basic,200,2025-03-20,20,YES,1.8,21.6,L1 Blue Dragon(PAR-L1-B01)의 자격자 1
154,LR-PAR-003,Park_Alpha77,PAR-L1-W02-2,CN_Ji_W2_2,🇨🇳,Line1,2,PAR-L1-B01,White Dragon,Basic,200,2025-03-23,20,YES,1.8,21.6,L1 Blue Dragon(PAR-L1-B01)의 자격자 2
155,LR-PAR-003,Park_Alpha77,PAR-L1-W02-3,CN_Ki_W2_3,🇨🇳,Line1,2,PAR-L1-B01,White Dragon,Basic,200,2025-03-26,20,YES,1.8,21.6,L1 Blue Dragon(PAR-L1-B01)의 자격자 3
156,LR-PAR-003,Park_Alpha77,PAR-L1-B02,CN_Li2_02,🇨🇳,Line1,2,PAR-L1-B01,Blue Dragon,Standard,500,2025-04-02,50,YES,4.5,54,척추 Blue Dragon L2
157,LR-PAR-003,Park_Alpha77,PAR-L1-W03-1,CN_Mi_W3_1,🇨🇳,Line1,3,PAR-L1-B02,White Dragon,Basic,200,2025-04-05,20,YES,1.8,21.6,L2 Blue Dragon(PAR-L1-B02)의 자격자 1
158,LR-PAR-003,Park_Alpha77,PAR-L1-W03-2,CN_Ni_W3_2,🇨🇳,Line1,3,PAR-L1-B02,White Dragon,Basic,200,2025-04-08,20,YES,1.8,21.6,L2 Blue Dragon(PAR-L1-B02)의 자격자 2
159,LR-PAR-003,Park_Alpha77,PAR-L1-W03-3,CN_Oi_W3_3,🇨🇳,Line1,3,PAR-L1-B02,White Dragon,Basic,200,2025-04-11,20,YES,1.8,21.6,L2 Blue Dragon(PAR-L1-B02)의 자격자 3
160,LR-PAR-003,Park_Alpha77,PAR-L1-B03,CN_Pi_03,🇨🇳,Line1,3,PAR-L1-B02,Blue Dragon,Standard,500,2025-04-18,50,YES,4.5,54,척추 Blue Dragon L3
161,LR-PAR-003,Park_Alpha77,PAR-L1-W04-1,CN_Qi_W4_1,🇨🇳,Line1,4,PAR-L1-B03,White Dragon,Basic,200,2025-04-21,20,NO (4레벨+),0,0,L3 Blue Dragon(PAR-L1-B03)의 자격자 1
162,LR-PAR-003,Park_Alpha77,PAR-L1-W04-2,CN_Ri_W4_2,🇨🇳,Line1,4,PAR-L1-B03,White Dragon,Basic,200,2025-04-24,20,NO (4레벨+),0,0,L3 Blue Dragon(PAR-L1-B03)의 자격자 2
163,LR-PAR-003,Park_Alpha77,PAR-L1-W04-3,CN_Si_W4_3,🇨🇳,Line1,4,PAR-L1-B03,White Dragon,Basic,200,2025-04-27,20,NO (4레벨+),0,0,L3 Blue Dragon(PAR-L1-B03)의 자격자 3
164,LR-PAR-003,Park_Alpha77,PAR-L1-T04-1,CN_Ti_T4,🇨🇳,Line1,4,PAR-L1-B03,White Dragon,Basic,200,2025-04-10,20,NO (4레벨+),0,0,꼬리구간 L4 — 최대깊이 달성
165,LR-PAR-003,Park_Alpha77,PAR-L1-T05-1,CN_Ui_T5,🇨🇳,Line1,5,PAR-L1-T04-1,White Dragon,Basic,200,2025-04-17,20,NO (4레벨+),0,0,꼬리구간 L5 — 최대깊이 달성
166,LR-PAR-003,Park_Alpha77,PAR-L1-T06-1,CN_Vi_T6,🇨🇳,Line1,6,PAR-L1-T05-1,White Dragon,Basic,200,2025-04-24,20,NO (4레벨+),0,0,꼬리구간 L6 — 최대깊이 달성
167,LR-PAR-003,Park_Alpha77,PAR-L1-T07-1,CN_Wi_T7,🇨🇳,Line1,7,PAR-L1-T06-1,White Dragon,Basic,200,2025-05-01,20,NO (4레벨+),0,0,꼬리구간 L7 — 최대깊이 달성
168,LR-PAR-003,Park_Alpha77,PAR-L2-B01,JP_Nishida_Rise,🇯🇵,Line2,1,LR-PAR-003,Blue Dragon,Standard,500,2025-03-07,50,YES,4.5,54,우연히 성장 / 얕은 Blue Dragon
169,LR-PAR-003,Park_Alpha77,PAR-L2-W02-1,JP_Ueda_1,🇯🇵,Line2,2,PAR-L2-B01,White Dragon,Basic,200,2025-03-10,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
170,LR-PAR-003,Park_Alpha77,PAR-L2-W02-2,JP_Wada_2,🇯🇵,Line2,2,PAR-L2-B01,White Dragon,Basic,200,2025-03-13,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
171,LR-PAR-003,Park_Alpha77,PAR-L2-W02-3,JP_Aoki_3,🇯🇵,Line2,2,PAR-L2-B01,White Dragon,Basic,200,2025-03-16,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
172,LR-PAR-003,Park_Alpha77,PAR-L2-W02-4,JP_Ikeda_4,🇯🇵,Line2,2,PAR-L2-B01,White Dragon,Basic,200,2025-03-19,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
173,LR-PAR-003,Park_Alpha77,PAR-L2-W02-5,JP_Ono_5,🇯🇵,Line2,2,PAR-L2-B01,White Dragon,Basic,200,2025-03-22,20,YES,1.8,21.6,L2-Blue 자격자 / 팀매출$1000 충족용
174,LR-PAR-003,Park_Alpha77,PAR-L2-T03-1,JP_Maeda_T1,🇯🇵,Line2,3,PAR-L2-W02-1,White Dragon,Basic,200,2025-04-16,20,YES,1.8,21.6,Line2 꼬리 L3
175,LR-PAR-003,Park_Alpha77,PAR-L2-T04-1,JP_Fujita_T2,🇯🇵,Line2,4,PAR-L2-T03-1,White Dragon,Basic,200,2025-04-26,20,NO (4레벨+),0,0,Line2 꼬리 L4
176,LR-PAR-003,Park_Alpha77,PAR-L2-T05-1,JP_Ohashi_T3,🇯🇵,Line2,5,PAR-L2-T04-1,White Dragon,Basic,200,2025-05-06,20,NO (4레벨+),0,0,Line2 꼬리 L5
177,LR-PAR-003,Park_Alpha77,PAR-L3-01,KR_Nam_Star,🇰🇷,Line3,1,LR-PAR-003,White Dragon,Basic,200,2025-03-05,20,YES,1.8,21.6,⭐ Blue Dragon 달성 목표 — 이 라인이 Blue되면 상위계정 Purple Dragon 달성
178,LR-PAR-003,Park_Alpha77,PAR-L3-W02-1,KR_Gang_1,🇰🇷,Line3,2,PAR-L3-01,White Dragon,Basic,200,2025-03-09,20,YES,1.8,21.6,L3 Blue Dragon 자격자 예비 1
179,LR-PAR-003,Park_Alpha77,PAR-L3-W02-2,KR_Do_2,🇰🇷,Line3,2,PAR-L3-01,White Dragon,Basic,200,2025-03-13,20,YES,1.8,21.6,L3 Blue Dragon 자격자 예비 2
180,LR-PAR-003,Park_Alpha77,PAR-L3-W02-3,KR_Im_3,🇰🇷,Line3,2,PAR-L3-01,White Dragon,Basic,200,2025-03-17,20,YES,1.8,21.6,L3 Blue Dragon 자격자 예비 3
181,LR-PAR-003,Park_Alpha77,PAR-L3-W02-4,KR_Choi_4,🇰🇷,Line3,2,PAR-L3-01,White Dragon,Basic,200,2025-03-21,20,YES,1.8,21.6,추가 멤버
182,LR-PAR-003,Park_Alpha77,PAR-L3-W03-1,KR_Park_D3,🇰🇷,Line3,3,PAR-L3-W02-1,White Dragon,Basic,200,2025-05-14,20,YES,1.8,21.6,Line3 L3
183,LR-PAR-003,Park_Alpha77,PAR-L3-W04-1,KR_Kim_D4,🇰🇷,Line3,4,PAR-L3-W02-1,White Dragon,Basic,200,2025-05-24,20,NO (4레벨+),0,0,Line3 L4
184,LR-PAR-003,Park_Alpha77,PAR-L3-W05-1,KR_Lee_D5,🇰🇷,Line3,5,PAR-L3-W02-1,White Dragon,Basic,200,2025-06-03,20,NO (4레벨+),0,0,Line3 L5
185,LR-PAR-003,Park_Alpha77,PAR-L4-01,VN_Cao_Pro,🇻🇳,Line4,1,LR-PAR-003,White Dragon,Basic,200,2025-03-09,20,YES,1.8,21.6,거의 비활성
186,LR-PAR-003,Park_Alpha77,PAR-L4-02-1,VN_Vo_1,🇻🇳,Line4,2,PAR-L4-01,White Dragon,Basic,200,2025-03-29,20,YES,1.8,21.6,비활성 소규모
187,LR-PAR-003,Park_Alpha77,PAR-L4-02-2,VN_Luong_2,🇻🇳,Line4,2,PAR-L4-01,White Dragon,Basic,200,2025-04-18,20,YES,1.8,21.6,비활성 소규모
188,LR-PAR-003,Park_Alpha77,PAR-L4-02-3,VN_Trinh_3,🇻🇳,Line4,2,PAR-L4-01,White Dragon,Basic,200,2025-05-08,20,YES,1.8,21.6,비활성 소규모
189,LR-PAR-003,Park_Alpha77,PAR-L5-01,CN_Xi_Rise2,🇨🇳,Line5,1,LR-PAR-003,White Dragon,Basic,200,2025-03-12,20,YES,1.8,21.6,거의 비활성
190,LR-PAR-003,Park_Alpha77,PAR-L5-02-1,CN_Yi_Sub,🇨🇳,Line5,2,PAR-L5-01,White Dragon,Basic,200,2025-05-11,20,YES,1.8,21.6,최소 구성
191,LR-CHO-004,Choi_Rise12,CHO-D1,CN_Zi_D,🇨🇳,Line1,1,LR-CHO-004,White Dragon,Basic,200,2025-03-10,20,NO(White Dragon),0,0,직접추천
192,LR-CHO-004,Choi_Rise12,CHO-D2,CN_Ao_D,🇨🇳,Line2,1,LR-CHO-004,White Dragon,Basic,200,2025-03-15,20,NO(White Dragon),0,0,직접추천
193,LR-CHO-004,Choi_Rise12,CHO-D3,KR_Yoon_D,🇰🇷,Line3,1,LR-CHO-004,White Dragon,Basic,200,2025-03-20,20,NO(White Dragon),0,0,직접추천
194,LR-CHO-004,Choi_Rise12,CHO-D4,VN_Dang_D,🇻🇳,Line4,1,LR-CHO-004,White Dragon,Basic,200,2025-03-25,20,NO(White Dragon),0,0,직접추천
195,LR-CHO-004,Choi_Rise12,CHO-S1,CN_Bo_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-04-11,20,NO(White Dragon),0,0,하부 멤버
196,LR-CHO-004,Choi_Rise12,CHO-S2,CN_Co_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-04-18,20,NO(White Dragon),0,0,하부 멤버
197,LR-CHO-004,Choi_Rise12,CHO-S3,CN_Do_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-04-25,20,NO(White Dragon),0,0,하부 멤버
198,LR-CHO-004,Choi_Rise12,CHO-S4,CN_Eo_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-05-02,20,NO(White Dragon),0,0,하부 멤버
199,LR-CHO-004,Choi_Rise12,CHO-S5,CN_Fo_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-05-09,20,NO(White Dragon),0,0,하부 멤버
200,LR-CHO-004,Choi_Rise12,CHO-S6,CN_Go_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-05-16,20,NO(White Dragon),0,0,하부 멤버
201,LR-CHO-004,Choi_Rise12,CHO-S7,CN_Ho_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-05-23,20,NO(White Dragon),0,0,하부 멤버
202,LR-CHO-004,Choi_Rise12,CHO-S8,CN_Io_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-05-30,20,NO(White Dragon),0,0,하부 멤버
203,LR-CHO-004,Choi_Rise12,CHO-S9,CN_Jo_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-06-06,20,NO(White Dragon),0,0,하부 멤버
204,LR-CHO-004,Choi_Rise12,CHO-S10,CN_Ko2_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-06-13,20,NO(White Dragon),0,0,하부 멤버
205,LR-CHO-004,Choi_Rise12,CHO-S11,CN_Lo_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-06-20,20,NO(White Dragon),0,0,하부 멤버
206,LR-CHO-004,Choi_Rise12,CHO-S12,CN_Wei_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-06-27,20,NO(White Dragon),0,0,하부 멤버
207,LR-CHO-004,Choi_Rise12,CHO-S13,CN_Chen_S,🇨🇳,Line1,2,CHO-D1,White Dragon,Basic,200,2025-07-04,20,NO(White Dragon),0,0,하부 멤버
208,LR-HAN-005,Han_Node34,HAN-D1,CN_Liu_D,🇨🇳,Line1,1,LR-HAN-005,White Dragon,Basic,200,2025-03-14,20,NO(White Dragon),0,0,직접추천
209,LR-HAN-005,Han_Node34,HAN-D2,CN_Wang_D,🇨🇳,Line2,1,LR-HAN-005,White Dragon,Basic,200,2025-03-19,20,NO(White Dragon),0,0,직접추천
210,LR-HAN-005,Han_Node34,HAN-D3,KR_Jang_D,🇰🇷,Line3,1,LR-HAN-005,White Dragon,Basic,200,2025-03-24,20,NO(White Dragon),0,0,직접추천
211,LR-HAN-005,Han_Node34,HAN-D4,VN_Ngo_D,🇻🇳,Line4,1,LR-HAN-005,White Dragon,Basic,200,2025-03-29,20,NO(White Dragon),0,0,직접추천
212,LR-HAN-005,Han_Node34,HAN-S1,CN_Zhang_S,🇨🇳,Line1,2,HAN-D1,White Dragon,Basic,200,2025-04-15,20,NO(White Dragon),0,0,하부 멤버
213,LR-HAN-005,Han_Node34,HAN-S2,CN_Li_S,🇨🇳,Line1,2,HAN-D1,White Dragon,Basic,200,2025-04-22,20,NO(White Dragon),0,0,하부 멤버
214,LR-HAN-005,Han_Node34,HAN-S3,CN_Zhao_S,🇨🇳,Line1,2,HAN-D1,White Dragon,Basic,200,2025-04-29,20,NO(White Dragon),0,0,하부 멤버
215,LR-HAN-005,Han_Node34,HAN-S4,CN_Huang_S,🇨🇳,Line1,2,HAN-D1,White Dragon,Basic,200,2025-05-06,20,NO(White Dragon),0,0,하부 멤버
216,LR-HAN-005,Han_Node34,HAN-S5,CN_Sun_S,🇨🇳,Line1,2,HAN-D1,White Dragon,Basic,200,2025-05-13,20,NO(White Dragon),0,0,하부 멤버
217,LR-HAN-005,Han_Node34,HAN-S6,CN_Lin_S,🇨🇳,Line1,2,HAN-D1,White Dragon,Basic,200,2025-05-20,20,NO(White Dragon),0,0,하부 멤버
218,LR-HAN-005,Han_Node34,HAN-S7,CN_Tang_S,🇨🇳,Line1,2,HAN-D1,White Dragon,Basic,200,2025-05-27,20,NO(White Dragon),0,0,하부 멤버
219,LR-HAN-005,Han_Node34,HAN-S8,CN_Xu_S,🇨🇳,Line1,2,HAN-D1,White Dragon,Basic,200,2025-06-03,20,NO(White Dragon),0,0,하부 멤버
220,LR-JUN-006,Jung_Bull56,JUN-D1,CN_Han_D,🇨🇳,Line1,1,LR-JUN-006,White Dragon,Basic,200,2025-03-18,20,NO(White Dragon),0,0,직접추천
221,LR-JUN-006,Jung_Bull56,JUN-D2,CN_Gao_D,🇨🇳,Line2,1,LR-JUN-006,White Dragon,Basic,200,2025-03-23,20,NO(White Dragon),0,0,직접추천
222,LR-JUN-006,Jung_Bull56,JUN-D3,KR_Shin_D,🇰🇷,Line3,1,LR-JUN-006,White Dragon,Basic,200,2025-03-28,20,NO(White Dragon),0,0,직접추천
223,LR-JUN-006,Jung_Bull56,JUN-D4,VN_Duong_D,🇻🇳,Line4,1,LR-JUN-006,White Dragon,Basic,200,2025-04-02,20,NO(White Dragon),0,0,직접추천
224,LR-JUN-006,Jung_Bull56,JUN-S1,CN_Luo_S,🇨🇳,Line1,2,JUN-D1,White Dragon,Basic,200,2025-04-19,20,NO(White Dragon),0,0,하부 멤버
225,LR-JUN-006,Jung_Bull56,JUN-S2,CN_Song_S,🇨🇳,Line1,2,JUN-D1,White Dragon,Basic,200,2025-04-26,20,NO(White Dragon),0,0,하부 멤버
226,LR-JUN-006,Jung_Bull56,JUN-S3,CN_Yang_S,🇨🇳,Line1,2,JUN-D1,White Dragon,Basic,200,2025-05-03,20,NO(White Dragon),0,0,하부 멤버
227,LR-JUN-006,Jung_Bull56,JUN-S4,CN_Zhu_S,🇨🇳,Line1,2,JUN-D1,White Dragon,Basic,200,2025-05-10,20,NO(White Dragon),0,0,하부 멤버
228,LR-YOO-007,Yoon_Gold78,YOO-D1,CN_Pan_D,🇨🇳,Line1,1,LR-YOO-007,White Dragon,Basic,200,2025-03-22,20,NO(White Dragon),0,0,직접추천
229,LR-YOO-007,Yoon_Gold78,YOO-D2,CN_Fu_D,🇨🇳,Line2,1,LR-YOO-007,White Dragon,Basic,200,2025-03-27,20,NO(White Dragon),0,0,직접추천
230,LR-YOO-007,Yoon_Gold78,YOO-D3,KR_Kwon_D,🇰🇷,Line3,1,LR-YOO-007,White Dragon,Basic,200,2025-04-01,20,NO(White Dragon),0,0,직접추천
231,LR-YOO-007,Yoon_Gold78,YOO-D4,VN_Ly_D,🇻🇳,Line4,1,LR-YOO-007,White Dragon,Basic,200,2025-04-06,20,NO(White Dragon),0,0,직접추천
232,LR-YOO-007,Yoon_Gold78,YOO-S1,CN_Cao_S,🇨🇳,Line1,2,YOO-D1,White Dragon,Basic,200,2025-04-23,20,NO(White Dragon),0,0,하부 멤버
233,LR-YOO-007,Yoon_Gold78,YOO-S2,CN_Zeng_S,🇨🇳,Line1,2,YOO-D1,White Dragon,Basic,200,2025-04-30,20,NO(White Dragon),0,0,하부 멤버
234,LR-SON-008,Song_Wave90,SON-D1,CN_Qian_D,🇨🇳,Line1,1,LR-SON-008,White Dragon,Basic,200,2025-03-27,20,NO(White Dragon),0,0,직접추천
235,LR-SON-008,Song_Wave90,SON-D2,CN_Ye_D,🇨🇳,Line2,1,LR-SON-008,White Dragon,Basic,200,2025-04-01,20,NO(White Dragon),0,0,직접추천
236,LR-SON-008,Song_Wave90,SON-D3,KR_Ahn_D,🇰🇷,Line3,1,LR-SON-008,White Dragon,Basic,200,2025-04-06,20,NO(White Dragon),0,0,직접추천
237,LR-SON-008,Song_Wave90,SON-D4,VN_Nguyen_D,🇻🇳,Line4,1,LR-SON-008,White Dragon,Basic,200,2025-04-11,20,NO(White Dragon),0,0,직접추천
238,LR-SON-008,Song_Wave90,SON-S1,CN_Dong_S,🇨🇳,Line1,2,SON-D1,White Dragon,Basic,200,2025-04-28,20,NO(White Dragon),0,0,하부 멤버
